NO,구분,고객번호,구분1,본부명,센터,팀,국사,고객번호
181,대상,0526301475,#N/A,4.대구/경북,경북액세스운용센터,경주운용팀,경주,0526301475
182,대상,0330179658,무선,5.전남/전북,전남/전북ICT기술담당,엔지니어링기술부,광주우산교환국사,0330179658
183,대상,0322135961,#N/A,5.전남/전북,전남/전북코어운용센터,전원기술부,광주,0322135961
184,대상,0322135809,estate,5.전남/전북,전남/전북코어운용센터,전원기술부,광주정보센터,0322135809
185,대상,0322136568,#N/A,5.전남/전북,전남/전북코어운용센터,전원기술부,북광주(신안),0322136568
186,대상,0322030690,#N/A,5.전남/전북,전남액세스운용센터,광주운용팀,곡성,0322030690
187,대상,0322023289,#N/A,5.전남/전북,전남액세스운용센터,광주운용팀,담양,0322023289
188,대상,0322024199,#N/A,5.전남/전북,전남액세스운용센터,광주운용팀,화순,0322024199
189,대상,0322136808,#N/A,5.전남/전북,전남액세스운용센터,북광주운용팀,동광주,0322136808
190,대상,0322032741,#N/A,5.전남/전북,전남액세스운용센터,북광주운용팀,본촌,0322032741
191,대상,0331748694,비통신,비통신,전남액세스운용센터,북광주운용팀,호남물류,0331748694
192,대상,0322011693,#N/A,5.전남/전북,전남액세스운용센터,서광주운용팀,남광주(백운),0322011693
193,대상,0322033624,estate,5.전남/전북,전남액세스운용센터,서광주운용팀,상무,0322033624
194,대상,0322033447,#N/A,5.전남/전북,전남액세스운용센터,서광주운용팀,서광주,0322033447
196,대상,0322019098,#N/A,5.전남/전북,전남액세스운용센터,광산운용팀,광산,0322019098
197,대상,0322006048,#N/A,5.전남/전북,전남액세스운용센터,광산운용팀,송정,0322006048
198,대상,0322100800,#N/A,5.전남/전북,전남액세스운용센터,광산운용팀,하남,0322100800
199,대상,0322075794,#N/A,5.전남/전북,전남액세스운용센터,북순천운용팀,구례,0322075794
200,대상,0322053362,#N/A,5.전남/전북,전남액세스운용센터,북순천운용팀,북순천(석현),0322053362
201,대상,0322053834,#N/A,5.전남/전북,전남액세스운용센터,북순천운용팀,순천,0322053834
202,대상,0322031163,#N/A,5.전남/전북,전남액세스운용센터,동순천운용팀,광양,0322031163
203,대상,0322119505,#N/A,5.전남/전북,전남액세스운용센터,동순천운용팀,동순천,0322119505
204,대상,0322031127,#N/A,5.전남/전북,전남액세스운용센터,동순천운용팀,서광양,0322031127
205,대상,0322026393,estate,5.전남/전북,전남액세스운용센터,여수운용팀,동여수,0322026393
206,대상,0322026231,estate,5.전남/전북,전남액세스운용센터,여수운용팀,북여수,0322026231
